Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0145840821	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0291681642	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0437522463	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0583363284	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.0729204105	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0875044927	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.102088575	0	0	0	0	0	0	0	0	0	0	3
8	9	0	0.116672657	0	0	0	0	0	0	0	0	0	0	3
9	9	0	0.131256739	0	0	0	0	0	0	0	0	0	0	3
10	10	0	0.145840821	0	0	0	0	0	0	0	0	0	0	3
11	11	0	0.160424903	0	0	0	0	0	0	0	0	0	0	3
12	12	0	0.175008985	0	0	0	0	0	0	0	0	0	0	3
13	12	0	0.189593067	0	0	0	0	0	0	0	0	0	0	3
14	13	0	0.20417715	0	0	0	0	0	0	0	0	0	0	3
15	14	0	0.218761232	0	0	0	0	0	0	0	0	0	0	3
16	15	0	0.233345314	0	0	0	0	0	0	0	0	0	0	3
17	15	0	0.247929396	0	0	0	0	0	0	0	0	0	0	3
18	16	0	0.262513478	0	0	0	0	0	0	0	0	0	0	3
19	17	0	0.27709756	0	0	0	0	0	0	0	0	0	0	3
20	17	0	0.291681642	0	0	0	0	0	0	0	0	0	0	3
21	18	0	0.306265724	0	0	0	0	0	0	0	0	0	0	3
22	19	0	0.320849806	0	0	0	0	0	0	0	0	0	0	3
23	20	0	0.335433889	0	0	0	0	0	0	0	0	0	0	3
24	20	0	0.350017971	0	0	0	0	0	0	0	0	0	0	3
25	21	0	0.364602053	0	0	0	0	0	0	0	0	0	0	3
26	22	0	0.379186135	0	0	0	0	0	0	0	0	0	0	3
27	23	0	0.393770217	0	0	0	0	0	0	0	0	0	0	3
28	24	0	0.408354299	0	0	0	0	0	0	0	0	0	0	3
29	25	0	0.422938381	0	0	0	0	0	0	0	0	0	0	3
30	25	0	0.437522463	0	0	0	0	0	0	0	0	0	0	3
31	26	0	0.452106545	0	0	0	0	0	0	0	0	0	0	3
32	27	0	0.466690628	0	0	0	0	0	0	0	0	0	0	3
33	28	0	0.48127471	0	0	0	0	0	0	0	0	0	0	3
34	29	0	0.495858792	0	0	0	0	0	0	0	0	0	0	3
35	29	0	0.510442874	0	0	0	0	0	0	0	0	0	0	3
36	30	0	0.525026956	0	0	0	0	0	0	0	0	0	0	3
37	31	0	0.539611038	0	0	0	0	0	0	0	0	0	0	3
38	32	0	0.55419512	0	0	0	0	0	0	0	0	0	0	3
39	33	0	0.568779202	0	0	0	0	0	0	0	0	0	0	3
40	34	0	0.583363284	0	0	0	0	0	0	0	0	0	0	3
41	34	0	0.597947366	0	0	0	0	0	0	0	0	0	0	3
42	35	0	0.612531449	0	0	0	0	0	0	0	0	0	0	3
43	36	0	0.627115531	0	0	0	0	0	0	0	0	0	0	3
44	37	0	0.641699613	0	0	0	0	0	0	0	0	0	0	3
45	37	0	0.656283695	0	0	0	0	0	0	0	0	0	0	3
46	38	0	0.670867777	0	0	0	0	0	0	0	0	0	0	3
47	39	0	0.685451859	0	0	0	0	0	0	0	0	0	0	3
48	40	0	0.700035941	0	0	0	0	0	0	0	0	0	0	3
49	40	0	0.714620023	0	0	0	0	0	0	0	0	0	0	3
50	41	0	0.729204105	0	0	0	0	0	0	0	0	0	0	3
51	42	0	0.743788188	0	0	0	0	0	0	0	0	0	0	3
52	42	0	0.75837227	0	0	0	0	0	0	0	0	0	0	3
53	43	0	0.772956352	0	0	0	0	0	0	0	0	0	0	3
54	44	0	0.787540434	0	0	0	0	0	0	0	0	0	0	3
55	45	0	0.802124516	0	0	0	0	0	0	0	0	0	0	3
56	45	0	0.816708598	0	0	0	0	0	0	0	0	0	0	3
57	46	0	0.83129268	0	0	0	0	0	0	0	0	0	0	3
58	47	0	0.845876762	0	0	0	0	0	0	0	0	0	0	3
59	47	0	0.860460844	0	0	0	0	0	0	0	0	0	0	3
60	48	0	0.875044927	0	0	0	0	0	0	0	0	0	0	3
61	49	0	0.889629009	0	0	0	0	0	0	0	0	0	0	3
62	49	0	0.904213091	0	0	0	0	0	0	0	0	0	0	3
63	50	0	0.918797173	0	0	0	0	0	0	0	0	0	0	3
64	51	0	0.933381255	0	0	0	0	0	0	0	0	0	0	3
65	51	0	0.947965337	0	0	0	0	0	0	0	0	0	0	3
66	52	0	0.962549419	0	0	0	0	0	0	0	0	0	0	3
67	53	0	0.977133501	0	0	0	0	0	0	0	0	0	0	3
68	53	0	0.991717583	0	0	0	0	0	0	0	0	0	0	3
69	54	0	1.00630167	0	0	0	0	0	0.001	0	100	0	0	3
70	55	0	1.02088575	0	0	0	0	0	0.001	0	100	0	0	3
