Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0145840821	317.872593	317.872593	317.872593	317.872593	0	0	0	0	0	0	3
2	4	0	0.0291681642	317.70421	317.788401	317.70421	317.872593	0.0841918633	0	0	0	0	0	3
3	5	0	0.0437522463	317.527495	317.701433	317.527495	317.872593	0.171160702	0	0	0	0	0	3
4	6	0	0.0583363284	317.352786	317.614271	317.352786	317.872593	0.258322239	0	0	0	0	0	3
5	6	0	0.0729204105	317.199111	317.531239	317.199111	317.872593	0.34135418	0	0	0	0	0	3
6	7	0	0.0875044927	317.101137	317.459556	317.101137	317.872593	0.413037816	0	0	0	0	0	3
7	8	0	0.102088575	317.110822	317.409736	317.101137	317.872593	0.46285694	0	0	0	0	0	3
8	9	0	0.116672657	317.233855	317.387751	317.101137	317.872593	0.484842144	0	0	0	0	0	3
9	9	0	0.131256739	317.324059	317.380674	317.101137	317.872593	0.491919095	0	0	0	0	0	3
10	10	0	0.145840821	317.365434	317.37915	317.101137	317.872593	0.49344313	0	0	0	0	0	3
11	11	0	0.160424903	315.128741	317.174568	315.128741	317.872593	0.698025744	0	0	0	0	0	3
12	12	0	0.175008985	314.411549	316.944316	314.411549	317.872593	0.928277304	0	0	0	0	0	3
13	12	0	0.189593067	314.151709	316.7295	314.151709	317.872593	1.14309321	0	0	0	0	0	3
14	13	0	0.20417715	314.067029	316.539324	314.067029	317.872593	1.33326971	0	0	0	0	0	3
15	14	0	0.218761232	314.076595	316.375142	314.067029	317.872593	1.49745164	0	0	0	0	0	3
16	15	0	0.233345314	314.211462	316.239912	314.067029	317.872593	1.6326816	0	0	0	0	0	3
17	15	0	0.247929396	314.425288	316.133169	314.067029	317.872593	1.73942417	0	0	0	0	0	3
18	16	0	0.262513478	314.70414	316.053779	314.067029	317.872593	1.81881466	0	0	0	0	0	3
19	17	0	0.27709756	315.042459	316.000551	314.067029	317.872593	1.87204204	0	0	0	0	0	3
20	17	0	0.291681642	315.432581	315.972153	314.067029	317.872593	1.90044057	0	0	0	0	0	3
21	18	0	0.306265724	316.083562	315.977458	314.067029	317.872593	1.90044057	0	0	0	0	0	3
22	19	0	0.320849806	316.779557	316.013917	314.067029	317.872593	1.90044057	0	0	0	0	0	3
23	20	0	0.335433889	317.497788	316.078433	314.067029	317.872593	1.90044057	0	0	0	0	0	3
24	20	0	0.350017971	318.223357	316.167805	314.067029	318.223357	1.90044057	0	0	0	0	0	3
25	21	0	0.364602053	318.937365	316.278587	314.067029	318.937365	1.90044057	0	0	0	0	0	3
26	22	0	0.379186135	319.900781	316.417902	314.067029	319.900781	1.90044057	0	0	0	0	0	3
27	23	0	0.393770217	320.732565	316.577705	314.067029	320.732565	1.90044057	0	0	0	0	0	3
28	24	0	0.408354299	321.438449	316.751303	314.067029	321.438449	1.90044057	0	0	0	0	0	3
29	25	0	0.422938381	322.039023	316.933638	314.067029	322.039023	1.90044057	0	0	0	0	0	3
30	25	0	0.437522463	322.549539	317.120835	314.067029	322.549539	1.90044057	0	0	0	0	0	3
31	26	0	0.452106545	323.132828	317.31477	314.067029	323.132828	1.90044057	0	0	0	0	0	3
32	27	0	0.466690628	323.56085	317.50996	314.067029	323.56085	1.90044057	0	0	0	0	0	3
33	28	0	0.48127471	323.869129	317.702662	314.067029	323.869129	1.90044057	0	0	0	0	0	3
34	29	0	0.495858792	324.093327	317.890623	314.067029	324.093327	1.91846993	0	0	0	0	0	3
35	29	0	0.510442874	324.256046	318.072492	314.067029	324.256046	2.10033916	0	0	0	0	0	3
36	30	0	0.525026956	324.409382	318.259257	314.067029	324.409382	2.28710453	0	0	0	0	0	3
37	31	0	0.539611038	324.502142	318.453484	314.067029	324.502142	2.48133117	0	0	0	0	0	3
38	32	0	0.55419512	324.558211	318.654362	314.067029	324.558211	2.68220876	0	0	0	0	0	3
39	33	0	0.568779202	324.592366	318.861207	314.067029	324.592366	2.88905389	0	0	0	0	0	3
40	34	0	0.583363284	324.613208	319.073038	314.067029	324.613208	3.10088523	0	0	0	0	0	3
41	34	0	0.597947366	324.628911	319.288117	314.067029	324.628911	3.31596447	0	0	0	0	0	3
42	35	0	0.612531449	324.636926	319.503149	314.067029	324.636926	3.53099602	0	0	0	0	0	3
43	36	0	0.627115531	324.641202	319.714787	314.067029	324.641202	3.7426345	0	0	0	0	0	3
44	37	0	0.641699613	324.643378	319.923911	314.067029	324.643378	3.95175792	0	0	0	0	0	3
45	37	0	0.656283695	324.644509	320.131884	314.067029	324.644509	4.15973148	0	0	0	0	0	3
46	38	0	0.670867777	324.645031	320.403778	314.067029	324.645031	4.43162546	0	0	0	0	0	3
47	39	0	0.685451859	324.645404	320.696174	314.067029	324.645404	4.72402134	0	0	0	0	0	3
48	40	0	0.700035941	324.645493	320.995996	314.067029	324.645493	5.02384372	0	0	0	0	0	3
49	40	0	0.714620023	324.64567	321.298243	314.076595	324.64567	5.32609059	0	0	0	0	0	3
50	41	0	0.729204105	324.645814	321.600221	314.211462	324.645814	5.62806828	0	0	0	0	0	3
51	42	0	0.743788188	324.645811	321.898345	314.425288	324.645814	5.92619253	0	0	0	0	0	3
52	42	0	0.75837227	324.645896	322.190363	314.70414	324.645896	6.21820991	0	0	0	0	0	3
53	43	0	0.772956352	324.645895	322.474413	315.042459	324.645896	6.50226006	0	0	0	0	0	3
54	44	0	0.787540434	324.645963	322.748799	315.432581	324.645963	6.77664589	0	0	0	0	0	3
55	45	0	0.802124516	324.645902	323.012036	316.083562	324.645963	7.03457847	0	0	0	0	0	3
56	45	0	0.816708598	324.645959	323.256676	316.779557	324.645963	7.24275937	0	0	0	0	0	3
57	46	0	0.83129268	324.645939	323.48143	317.497788	324.645963	7.14817518	0	0	0	0	0	3
58	47	0	0.845876762	324.64598	323.685664	318.223357	324.64598	6.42262284	0	0	0	0	0	3
59	47	0	0.860460844	324.645933	323.869166	318.937365	324.64598	5.70861517	0	0	0	0	0	3
60	48	0	0.875044927	324.645912	324.032268	319.900781	324.64598	4.74519935	0	0	0	0	0	3
61	49	0	0.889629009	324.645905	324.167843	320.732565	324.64598	3.91341475	0	0	0	0	0	3
62	49	0	0.904213091	324.645973	324.279654	321.438449	324.64598	3.20753145	0	0	0	0	0	3
63	50	0	0.918797173	324.645971	324.371298	322.039023	324.64598	2.60695729	0	0	0	0	0	3
64	51	0	0.933381255	324.645972	324.445782	322.549539	324.64598	2.09644136	0	0	0	0	0	3
65	51	0	0.947965337	324.64597	324.50568	323.132828	324.64598	1.51315219	0	0	0	0	0	3
66	52	0	0.962549419	324.645919	324.548911	323.56085	324.64598	1.08513043	0	0	0	0	0	3
67	53	0	0.977133501	324.645915	324.579913	323.869129	324.64598	0.77685152	0	0	0	0	0	3
68	53	0	0.991717583	324.645936	324.602108	324.093327	324.64598	0.552653503	0	0	0	0	0	3
69	54	0	1.00630167	324.64593	324.617896	324.256046	324.64598	0.38993436	0.317368527	0	81.3	0	0	3
70	55	0	1.02088575	324.645933	324.629036	324.409382	324.64598	0.236598532	0.317368527	0	100	0	0	3
