Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0150188172	101313.595	101313.595	101313.595	101313.595	0	0	0	0	0	0	3
2	5	0	0.0300376343	101314.008	101313.801	101313.595	101314.008	0.206271315	0	0	0	0	0	3
3	5	0	0.0450564515	101314.334	101313.979	101313.595	101314.334	0.383794261	0	0	0	0	0	3
4	6	0	0.0600752687	101315.878	101314.454	101313.595	101315.878	0.858532356	0	0	0	0	0	3
5	6	0	0.0750940858	101222.509	101296.065	101222.509	101315.878	18.3888479	0	0	0	0	0	3
6	7	0	0.090112903	101216.738	101282.844	101216.738	101315.878	31.6099944	0	0	0	0	0	3
7	8	0	0.10513172	101165.251	101266.045	101165.251	101315.878	48.4089314	0	0	0	0	0	3
8	8	0	0.120150537	101161.933	101253.031	101161.933	101315.878	61.4229162	0	0	0	0	0	3
9	9	0	0.135169354	101136.037	101240.031	101136.037	101315.878	74.422256	0	0	0	0	0	3
10	10	0	0.150188172	101127.862	101228.814	101127.862	101315.878	85.6391484	0	0	0	0	0	3
11	11	0	0.165206989	101100.649	101217.163	101100.649	101315.878	97.2905911	0	0	0	0	0	3
12	11	0	0.180225806	101094.081	101206.906	101094.081	101315.878	107.547415	0	0	0	0	0	3
13	12	0	0.195244623	101079.404	101197.098	101079.404	101315.878	117.355284	0	0	0	0	0	3
14	13	0	0.21026344	101080.776	101188.79	101079.404	101315.878	125.663986	0	0	0	0	0	3
15	14	0	0.225282257	101080.936	101181.599	101079.404	101315.878	132.85423	0	0	0	0	0	3
16	14	0	0.240301075	101088.808	101175.8	101079.404	101315.878	138.653669	0	0	0	0	0	3
17	15	0	0.255319892	101091.054	101170.815	101079.404	101315.878	143.638731	0	0	0	0	0	3
18	16	0	0.270338709	101095.734	101166.644	101079.404	101315.878	147.809912	0	0	0	0	0	3
19	17	0	0.285357526	101102.535	101163.269	101079.404	101315.878	151.184055	0	0	0	0	0	3
20	17	0	0.300376343	101108.74	101160.543	101079.404	101315.878	153.910532	0	0	0	0	0	3
21	18	0	0.31539516	101114.37	101158.344	101079.404	101315.878	156.10924	0	0	0	0	0	3
22	19	0	0.330413978	101119.872	101156.596	101079.404	101315.878	157.857997	0	0	0	0	0	3
23	20	0	0.345432795	101125.664	101155.251	101079.404	101315.878	159.202834	0	0	0	0	0	3
24	21	0	0.360451612	101131.366	101154.256	101079.404	101315.878	160.198026	0	0	0	0	0	3
25	22	0	0.375470429	101137.09	101153.569	101079.404	101315.878	160.88463	0	0	0	0	0	3
26	23	0	0.390489246	101145.941	101153.276	101079.404	101315.878	161.178	0	0	0	0	0	3
27	23	0	0.405508063	101154.818	101153.333	101079.404	101315.878	161.178	0	0	0	0	0	3
28	24	0	0.420526881	101163.936	101153.711	101079.404	101315.878	161.178	0	0	0	0	0	3
29	25	0	0.435545698	101173.373	101154.389	101079.404	101315.878	161.178	0	0	0	0	0	3
30	26	0	0.450564515	101182.971	101155.342	101079.404	101315.878	161.178	0	0	0	0	0	3
31	28	0	0.465583332	101197.975	101156.717	101079.404	101315.878	161.178	0	0	0	0	0	3
32	29	0	0.480602149	101213.345	101158.487	101079.404	101315.878	161.178	0	0	0	0	0	3
33	31	0	0.495620966	101229.2	101160.63	101079.404	101315.878	161.178	0	0	0	0	0	3
34	32	0	0.510639784	101245.512	101163.126	101079.404	101315.878	161.178	0	0	0	0	0	3
35	33	0	0.525658601	101262.288	101161.617	101079.404	101315.878	161.178	0	0	0	0	0	3
36	34	0	0.540677418	101288.427	101160.865	101079.404	101315.878	161.178	0	0	0	0	0	3
37	36	0	0.555696235	101314.191	101160.861	101079.404	101315.878	161.178	0	0	0	0	0	3
38	37	0	0.570715052	101341.943	101161.627	101079.404	101341.943	142.789152	0	0	0	0	0	3
39	38	0	0.585733869	101370.354	101165.976	101079.404	101370.354	129.568006	0	0	0	0	0	3
40	39	0	0.600752687	101399.224	101171.343	101079.404	101399.224	112.769069	0	0	0	0	0	3
41	40	0	0.615771504	101445.399	101179.583	101079.404	101445.399	99.7550837	0	0	0	0	0	3
42	41	0	0.630790321	101496.656	101189.427	101079.404	101496.656	86.7557439	0	0	0	0	0	3
43	42	0	0.645809138	101543.811	101201.421	101079.404	101543.811	75.5388516	0	0	0	0	0	3
44	42	0	0.660827955	101590.082	101215.015	101079.404	101590.082	63.8874089	0	0	0	0	0	3
45	44	0	0.675846772	101638.292	101230.828	101079.404	101638.292	77.5528974	0	0	0	0	0	3
46	44	0	0.69086559	101690.132	101248.359	101079.404	101690.132	95.0838016	0	0	0	0	0	3
47	45	0	0.705884407	101738.969	101267.758	101080.776	101738.969	114.482785	0	0	0	0	0	3
48	46	0	0.720903224	101787.775	101288.552	101080.936	101787.775	135.276872	0	0	0	0	0	3
49	47	0	0.735922041	101837.533	101310.805	101088.808	101837.533	157.529716	0	0	0	0	0	3
50	48	0	0.750940858	101888.886	101334.337	101091.054	101888.886	181.0614	0	0	0	0	0	3
51	49	0	0.765959675	101939.686	101359.297	101095.734	101939.686	206.021159	0	0	0	0	0	3
52	50	0	0.780978493	101988.269	101385.548	101102.535	101988.269	232.272187	0	0	0	0	0	3
53	51	0	0.79599731	102039.958	101413.119	101108.74	102039.958	259.843456	0	0	0	0	0	3
54	52	0	0.811016127	102096.137	101442.16	101114.37	102096.137	288.88454	0	0	0	0	0	3
55	53	0	0.826034944	102147.761	101472.554	101119.872	102147.761	319.278392	0	0	0	0	0	3
56	54	0	0.841053761	102200.368	101504.333	101125.664	102200.368	351.057698	0	0	0	0	0	3
57	55	0	0.856072578	102258.05	101537.639	101131.366	102258.05	384.363157	0	0	0	0	0	3
58	56	0	0.871091396	102316.794	101572.504	101137.09	102316.794	419.228696	0	0	0	0	0	3
59	57	0	0.886110213	102379.889	101609.057	101145.941	102379.889	455.781591	0	0	0	0	0	3
60	58	0	0.90112903	102443.456	101647.219	101154.818	102443.456	493.886649	0	0	0	0	0	3
61	60	0	0.916147847	102517.281	101687.292	101163.936	102517.281	533.580402	0	0	0	0	0	3
62	60	0	0.931166664	102597.64	101729.46	101173.373	102597.64	575.070183	0	0	0	0	0	3
63	61	0	0.946185481	102653.684	101772.998	101182.971	102653.684	617.656039	0	0	0	0	0	3
64	62	0	0.961204299	102703.971	101817.733	101197.975	102703.971	661.016083	0	0	0	0	0	3
65	63	0	0.976223116	102753.139	101863.474	101213.345	102753.139	704.98657	0	0	0	0	0	3
66	64	0	0.991241933	102802.4	101910.21	101229.2	102802.4	749.580657	0	0	0	0	0	3
67	65	0	1.00626075	102851.976	101957.939	101245.512	102851.976	797.078438	53.1771755	0	6.6	0	0	3
68	66	0	1.02127957	102903.596	102006.706	101262.288	102903.596	845.845615	54.7257632	0	6.4	0	0	3
69	67	0	1.03629838	102954.586	102056.48	101288.427	102954.586	895.619089	55.4906178	0	6.1	0	0	3
70	68	0	1.0513172	103003.611	102106.926	101314.191	103003.611	946.065669	56.2358143	0	5.9	0	0	3
71	69	0	1.06633602	103054.94	102158.125	101341.943	103054.94	996.497531	56.9933783	0	5.7	0	0	3
72	70	0	1.08135484	103110.027	102210.127	101370.354	103110.027	1044.15163	57.7784405	0	5.5	0	0	3
73	71	0	1.09637365	103169.542	102263.045	101399.224	103169.542	1091.70167	58.5993904	0	5.3	0	0	3
74	71	0	1.11139247	103236.613	102317.085	101445.399	103236.613	1137.50288	59.4732307	0	5.2	0	0	3
75	72	0	1.12641129	103313.2	102372.021	101496.656	103313.2	1182.59341	60.415812	0	5.1	0	0	3
76	73	0	1.1414301	103394.738	102427.847	101543.811	103394.738	1226.42599	61.4207233	0	5	0	0	3
77	74	0	1.15644892	103467.691	102484.431	101590.082	103467.691	1269.41601	62.4435112	0	4.9	0	0	3
78	75	0	1.17146774	103551.959	102542.134	101638.292	103551.959	1311.30526	63.5101612	0	4.8	0	0	3
79	77	0	1.18648656	103631.857	102600.768	101690.132	103631.857	1352.40863	64.5987798	0	4.7	0	0	3
80	78	0	1.20150537	103720.419	102660.482	101738.969	103720.419	1392.72398	65.721126	0	4.7	0	0	3
81	79	0	1.21652419	103810.358	102721.406	101787.775	103810.358	1432.85309	66.8755219	0	4.6	0	0	3
82	80	0	1.23154301	103866.848	102782.555	101837.533	103866.848	1471.74943	67.9732322	0	4.6	0	0	3
83	81	0	1.24656182	103916.894	102843.712	101888.886	103916.894	1509.37543	69.0233553	0	4.5	0	0	3
84	82	0	1.26158064	103963.244	102904.723	101939.686	103963.244	1545.42621	70.0234699	0	4.5	0	0	3
85	83	0	1.27659946	104010.906	102965.641	101988.269	104010.906	1580.09342	70.9805622	0	4.4	0	0	3
86	84	0	1.29161828	104062.869	103026.659	102039.958	104062.869	1613.53982	71.9091579	0	4.4	0	0	3
87	85	0	1.30663709	104120.792	103087.86	102096.137	104120.792	1645.69974	72.8233327	0	4.4	0	0	3
88	86	0	1.32165591	104178.122	103149.095	102147.761	104178.122	1676.54074	73.7244838	0	4.3	0	0	3
89	87	0	1.33667473	104231.419	103210.379	102200.368	104231.419	1706.04549	74.6084909	0	4.3	0	0	3
90	87	0	1.35169354	104283.949	103271.661	102258.05	104283.949	1734.02183	75.4767087	0	4.3	0	0	3
91	89	0	1.36671236	104334.371	103332.729	102316.794	104334.371	1760.22456	76.3284464	0	4.3	0	0	3
92	90	0	1.38173118	104383.05	103393.501	102379.889	104383.05	1784.44388	77.1598388	0	4.3	0	0	3
93	91	0	1.39675	104431.873	103453.854	102443.456	104431.873	1806.63418	77.9733703	0	4.3	0	0	3
94	92	0	1.41176881	104488.76	103514.01	102517.281	104488.76	1826.71777	78.7797175	0	4.3	0	0	3
95	93	0	1.42678763	104552.82	103573.878	102597.64	104552.82	1844.4188	79.5869923	0	4.3	0	0	3
96	94	0	1.44180645	104624.574	103633.494	102653.684	104624.574	1860.49595	80.4028928	0	4.3	0	0	3
97	96	0	1.45682527	104707.31	103693.895	102703.971	104707.31	1876.1614	81.2321312	0	4.3	0	0	3
98	97	0	1.47184408	104783.129	103755.047	102753.139	104783.129	1891.57299	82.0663693	0	4.3	0	0	3
99	98	0	1.4868629	104864.079	103817.133	102802.4	104864.079	1906.92257	82.9094945	0	4.3	0	0	3
100	99	0	1.50188172	104911.24	103879.158	102851.976	104911.24	1921.21855	83.7295658	0	4.3	0	0	3
101	100	0	1.51690053	104959.311	103941.138	102903.596	104959.311	1934.43181	84.5290108	0	4.3	0	0	3
102	101	0	1.53191935	105005.04	104002.945	102954.586	105005.04	1946.46551	85.2995642	0	4.3	0	0	3
103	102	0	1.54693817	105054.885	104064.719	103003.611	105054.885	1957.79243	86.0473769	0	4.3	0	0	3
104	103	0	1.56195699	105107.462	104126.597	103054.94	105107.462	1968.47191	86.7748955	0	4.4	0	0	3
105	104	0	1.5769758	105162.129	104188.573	103110.027	105162.129	1978.4456	87.484852	0	4.4	0	0	3
106	105	0	1.59199462	105211.533	104250.382	103169.542	105211.533	1987.33731	88.1741958	0	4.4	0	0	3
107	106	0	1.60701344	105259.754	104311.859	103236.613	105259.754	1994.77328	88.8306072	0	4.4	0	0	3
108	107	0	1.62203225	105306.087	104372.726	103313.2	105306.087	1992.88707	89.4513957	0	4.4	0	0	3
109	108	0	1.63705107	105350.698	104432.652	103394.738	105350.698	1955.95999	90.0408056	0	4.6	0	0	3
110	109	0	1.65206989	105399.038	104491.602	103467.691	105399.038	1931.34716	90.6042446	0	4.6	0	0	3
111	110	0	1.66708871	105447.708	104549.838	103551.959	105447.708	1895.74912	91.1423869	0	4.8	0	0	3
112	110	0	1.68210752	105499.721	104607.125	103631.857	105499.721	1867.86413	91.6567265	0	4.9	0	0	3
113	112	0	1.69712634	105558.797	104663.8	103720.419	105558.797	1838.37825	92.1553812	0	5	0	0	3
114	113	0	1.71214516	105625.004	104719.817	103810.358	105625.004	1814.64559	92.6439231	0	5.1	0	0	3
115	114	0	1.72716397	105695.798	104775.271	103866.848	105695.798	1828.95037	93.1252572	0	5	0	0	3
116	115	0	1.74218279	105757.874	104830.889	103916.894	105757.874	1840.97984	93.59351	0	5	0	0	3
117	117	0	1.75720161	105831.586	104887.204	103963.244	105831.586	1868.34212	94.0567799	0	5	0	0	3
118	118	0	1.77222043	105877.23	104943.498	104010.906	105877.23	1866.32386	94.5001536	0	5	0	0	3
119	118	0	1.78723924	105925.688	104999.815	104062.869	105925.688	1862.81868	94.9246102	0	5	0	0	3
120	119	0	1.80225806	105970.781	105055.93	104120.792	105970.781	1849.98866	95.3267744	0	5.1	0	0	3
121	120	0	1.81727688	106020.86	105111.814	104178.122	106020.86	1842.73856	95.7131856	0	5.1	0	0	3
122	121	0	1.83229569	106073.45	105167.559	104231.419	106073.45	1842.03072	96.0855359	0	5.2	0	0	3
123	122	0	1.84731451	106127.494	105223.326	104283.949	106127.494	1843.54426	96.442639	0	5.2	0	0	3
124	123	0	1.86233333	106175.564	105278.962	104334.371	106175.564	1841.19286	96.7815942	0	5.2	0	0	3
125	124	0	1.87735215	106219.334	105334.402	104383.05	106219.334	1836.28418	97.0988659	0	5.2	0	0	3
126	125	0	1.89237096	106261.816	105389.66	104431.873	106261.816	1829.94304	97.3946617	0	5.3	0	0	3
127	126	0	1.90738978	106301.704	105444.655	104488.76	106301.704	1812.94323	97.6636288	0	5.3	0	0	3
128	126	0	1.9224086	106344.793	105499.244	104552.82	106344.793	1791.97254	97.9054478	0	5.4	0	0	3
129	127	0	1.93742741	106390.326	105553.288	104624.574	106390.326	1765.75127	98.1343798	0	5.5	0	0	3
130	128	0	1.95244623	106439.829	105606.678	104707.31	106439.829	1732.51962	98.3556715	0	5.6	0	0	3
131	129	0	1.96746505	106494.193	105659.233	104783.129	106494.193	1711.06372	98.5724831	0	5.7	0	0	3
132	131	0	1.98248387	106556.743	105711.398	104864.079	106556.743	1692.66357	98.7887568	0	5.8	0	0	3
133	132	0	1.99750268	106617.364	105762.966	104911.24	106617.364	1706.12401	99.0034974	0	5.8	0	0	3
134	133	0	2.0125215	106672.132	105814.757	104959.311	106672.132	1712.82106	99.2132377	0	5.7	0	0	3
135	135	0	2.02754032	106745.63	105867.295	105005.04	106745.63	1740.59047	99.4267388	0	5.7	0	0	3
136	135	0	2.04255913	106789.193	105919.77	105054.885	106789.193	1734.30797	99.631677	0	5.7	0	0	3
137	136	0	2.05757795	106834.71	105972.118	105107.462	106834.71	1727.24809	99.8282688	0	5.7	0	0	3
138	137	0	2.07259677	106878.174	106024.198	105162.129	106878.174	1716.04486	100.014412	0	5.8	0	0	3
139	138	0	2.08761559	106926.131	106076.08	105211.533	106926.131	1714.59822	100.190568	0	5.8	0	0	3
140	139	0	2.1026344	106975.822	106127.971	105259.754	106975.822	1716.06783	100.354756	0	5.8	0	0	3
141	140	0	2.11765322	107025.019	106179.891	105306.087	107025.019	1718.93188	100.503402	0	5.8	0	0	3
142	141	0	2.13267204	107068.398	106231.724	105350.698	107068.398	1717.70068	100.632821	0	5.8	0	0	3
143	142	0	2.14769085	107107.745	106283.401	105399.038	107107.745	1708.70708	100.745568	0	5.8	0	0	3
144	143	0	2.16270967	107144.901	106334.75	105447.708	107144.901	1697.19283	100.837032	0	5.9	0	0	3
145	144	0	2.17772849	107180.262	106385.708	105499.721	107180.262	1680.54078	100.90902	0	6	0	0	3
146	145	0	2.19274731	107219.66	106436.294	105558.797	107219.66	1660.86242	100.960516	0	6	0	0	3
147	146	0	2.20776612	107261.831	106486.383	105625.004	107261.831	1636.82693	100.992812	0	6.1	0	0	3
148	147	0	2.22278494	107307.804	106535.878	105695.798	107307.804	1612.00593	101.020416	0	6.2	0	0	3
149	148	0	2.23780376	107357.903	106584.763	105757.874	107357.903	1600.02905	101.047365	0	6.3	0	0	3
150	149	0	2.25282257	107414.296	106633.481	105831.586	107414.296	1582.71023	101.077295	0	6.3	0	0	3
151	151	0	2.26784139	107470.809	106681.694	105877.23	107470.809	1593.5795	101.109674	0	6.3	0	0	3
152	152	0	2.28286021	107521.57	106730.057	105925.688	107521.57	1595.88156	101.140866	0	6.3	0	0	3
153	153	0	2.29787903	107584.698	106778.851	105970.781	107584.698	1613.91728	101.173149	0	6.2	0	0	3
154	154	0	2.31289784	107626.087	106827.537	106020.86	107626.087	1605.22704	101.199193	0	6.3	0	0	3
155	155	0	2.32791666	107669.425	106876.024	106073.45	107669.425	1595.97563	101.221249	0	6.3	0	0	3
