Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0150188172	293.167098	293.167098	293.167098	293.167098	0	0	0	0	0	0	3
2	5	0	0.0300376343	293.168192	293.167645	293.167098	293.168192	0.000546900208	0	0	0	0	0	3
3	5	0	0.0450564515	293.169151	293.168147	293.167098	293.169151	0.00104883896	0	0	0	0	0	3
4	6	0	0.0600752687	293.169932	293.168593	293.167098	293.169932	0.0014951979	0	0	0	0	0	3
5	6	0	0.0750940858	293.170788	293.169032	293.167098	293.170788	0.00193412396	0	0	0	0	0	3
6	7	0	0.090112903	293.171733	293.169482	293.167098	293.171733	0.00238433056	0	0	0	0	0	3
7	8	0	0.10513172	293.17273	293.169946	293.167098	293.17273	0.00284826945	0	0	0	0	0	3
8	8	0	0.120150537	293.17365	293.170409	293.167098	293.17365	0.0033112689	0	0	0	0	0	3
9	9	0	0.135169354	293.174722	293.170889	293.167098	293.174722	0.00379050952	0	0	0	0	0	3
10	10	0	0.150188172	293.175789	293.171379	293.167098	293.175789	0.0042805568	0	0	0	0	0	3
11	11	0	0.165206989	293.181284	293.172279	293.167098	293.181284	0.00518108876	0	0	0	0	0	3
12	11	0	0.180225806	293.187391	293.173538	293.167098	293.187391	0.00644043684	0	0	0	0	0	3
13	12	0	0.195244623	293.193739	293.175092	293.167098	293.193739	0.00799432065	0	0	0	0	0	3
14	13	0	0.21026344	293.20007	293.176876	293.167098	293.20007	0.00977842893	0	0	0	0	0	3
15	14	0	0.225282257	293.206574	293.178856	293.167098	293.206574	0.0117582474	0	0	0	0	0	3
16	14	0	0.240301075	293.21639	293.181202	293.167098	293.21639	0.0141041236	0	0	0	0	0	3
17	15	0	0.255319892	293.226394	293.18386	293.167098	293.226394	0.0167624702	0	0	0	0	0	3
18	16	0	0.270338709	293.236611	293.186791	293.167098	293.236611	0.0196930329	0	0	0	0	0	3
19	17	0	0.285357526	293.247156	293.189968	293.167098	293.247156	0.0228701617	0	0	0	0	0	3
20	17	0	0.300376343	293.257649	293.193352	293.167098	293.257649	0.0262542245	0	0	0	0	0	3
21	18	0	0.31539516	293.273994	293.197192	293.167098	293.273994	0.0300943294	0	0	0	0	0	3
22	19	0	0.330413978	293.289968	293.201409	293.167098	293.289968	0.03431139	0	0	0	0	0	3
23	20	0	0.345432795	293.306787	293.205991	293.167098	293.306787	0.0388930049	0	0	0	0	0	3
24	21	0	0.360451612	293.323343	293.210881	293.167098	293.323343	0.0437826696	0	0	0	0	0	3
25	22	0	0.375470429	293.339966	293.216044	293.167098	293.339966	0.0489460731	0	0	0	0	0	3
26	23	0	0.390489246	293.365668	293.221799	293.167098	293.365668	0.0547008443	0	0	0	0	0	3
27	23	0	0.405508063	293.391448	293.228082	293.167098	293.391448	0.0609841553	0	0	0	0	0	3
28	24	0	0.420526881	293.41793	293.234862	293.167098	293.41793	0.0677644183	0	0	0	0	0	3
29	25	0	0.435545698	293.445341	293.24212	293.167098	293.445341	0.0750223164	0	0	0	0	0	3
30	26	0	0.450564515	293.473217	293.249824	293.167098	293.473217	0.0827255315	0	0	0	0	0	3
31	28	0	0.465583332	293.516793	293.258435	293.167098	293.516793	0.0913374389	0	0	0	0	0	3
32	29	0	0.480602149	293.56143	293.267904	293.167098	293.56143	0.100806024	0	0	0	0	0	3
33	31	0	0.495620966	293.607472	293.278194	293.167098	293.607472	0.111095961	0	0	0	0	0	3
34	32	0	0.510639784	293.654843	293.289272	293.167098	293.654843	0.122173862	0	0	0	0	0	3
35	33	0	0.525658601	293.703562	293.30505	293.168192	293.703562	0.137405322	0	0	0	0	0	3
36	34	0	0.540677418	293.779467	293.323029	293.169151	293.779467	0.154882054	0	0	0	0	0	3
37	36	0	0.555696235	293.854279	293.34318	293.169932	293.854279	0.174586525	0	0	0	0	0	3
38	37	0	0.570715052	293.934859	293.365678	293.170788	293.934859	0.196645429	0	0	0	0	0	3
39	38	0	0.585733869	294.01735	293.390576	293.171733	294.01735	0.221094107	0	0	0	0	0	3
40	39	0	0.600752687	294.101169	293.417913	293.17273	294.101169	0.247966513	0	0	0	0	0	3
41	40	0	0.615771504	294.235223	293.449163	293.17365	294.235223	0.2787533	0	0	0	0	0	3
42	41	0	0.630790321	294.384007	293.484761	293.174722	294.384007	0.313872789	0	0	0	0	0	3
43	42	0	0.645809138	294.520907	293.524355	293.175789	294.520907	0.352976401	0	0	0	0	0	3
44	42	0	0.660827955	294.655249	293.567868	293.181284	294.655249	0.395589392	0	0	0	0	0	3
45	44	0	0.675846772	294.795178	293.615336	293.187391	294.795178	0.441797499	0	0	0	0	0	3
46	44	0	0.69086559	294.945602	293.667048	293.193739	294.945602	0.491955683	0	0	0	0	0	3
47	45	0	0.705884407	295.087302	293.722741	293.20007	295.087302	0.545864621	0	0	0	0	0	3
48	46	0	0.720903224	295.228881	293.782412	293.206574	295.228881	0.603555713	0	0	0	0	0	3
49	47	0	0.735922041	295.373225	293.846137	293.21639	295.373225	0.664934876	0	0	0	0	0	3
50	48	0	0.750940858	295.522202	293.913955	293.226394	295.522202	0.730094517	0	0	0	0	0	3
51	49	0	0.765959675	295.669596	293.985814	293.236611	295.669596	0.79902284	0	0	0	0	0	3
52	50	0	0.780978493	295.810589	294.061519	293.247156	295.810589	0.871550948	0	0	0	0	0	3
53	51	0	0.79599731	295.960621	294.141327	293.257649	295.960621	0.947974667	0	0	0	0	0	3
54	52	0	0.811016127	296.123724	294.225623	293.273994	296.123724	1.02843088	0	0	0	0	0	3
55	53	0	0.826034944	296.273637	294.313848	293.289968	296.273637	1.11243861	0	0	0	0	0	3
56	54	0	0.841053761	296.426446	294.406097	293.306787	296.426446	1.20010635	0	0	0	0	0	3
57	55	0	0.856072578	296.594021	294.502781	293.323343	296.594021	1.29190004	0	0	0	0	0	3
58	56	0	0.871091396	296.764675	294.603996	293.339966	296.764675	1.3879523	0	0	0	0	0	3
59	57	0	0.886110213	296.947984	294.710115	293.365668	296.947984	1.48831572	0	0	0	0	0	3
60	58	0	0.90112903	297.132676	294.820909	293.391448	297.132676	1.59282677	0	0	0	0	0	3
61	60	0	0.916147847	297.347065	294.937251	293.41793	297.347065	1.70238817	0	0	0	0	0	3
62	60	0	0.931166664	297.579924	295.059662	293.445341	297.579924	1.81754186	0	0	0	0	0	3
63	61	0	0.946185481	297.742214	295.186041	293.473217	297.742214	1.93621724	0	0	0	0	0	3
64	62	0	0.961204299	297.887866	295.315883	293.516793	297.887866	2.05744796	0	0	0	0	0	3
65	63	0	0.976223116	298.030248	295.448632	293.56143	298.030248	2.18072805	0	0	0	0	0	3
66	64	0	0.991241933	298.172903	295.584264	293.607472	298.172903	2.30606967	0	0	0	0	0	3
67	65	0	1.00626075	298.316536	295.722766	293.654843	298.316536	2.43349365	0.154421548	0	6.3	0	0	3
68	66	0	1.02127957	298.466139	295.864274	293.703562	298.466139	2.559224	0.158909643	0	6.2	0	0	3
69	67	0	1.03629838	298.613971	296.008698	293.779467	298.613971	2.68566912	0.161127131	0	5.9	0	0	3
70	68	0	1.0513172	298.756157	296.155071	293.854279	298.756157	2.81189153	0.16328033	0	5.8	0	0	3
71	69	0	1.06633602	298.90505	296.303623	293.934859	298.90505	2.93794579	0.165467214	0	5.6	0	0	3
72	70	0	1.08135484	299.064875	296.454506	294.01735	299.064875	3.06392973	0.167732618	0	5.4	0	0	3
73	71	0	1.09637365	299.237576	296.608042	294.101169	299.237576	3.19012945	0.170101413	0	5.3	0	0	3
74	71	0	1.11139247	299.432244	296.764839	294.235223	299.432244	3.315676	0.172623758	0	5.2	0	0	3
75	72	0	1.12641129	299.654571	296.924231	294.384007	299.654571	3.43946987	0.17534522	0	5	0	0	3
76	73	0	1.1414301	299.891352	297.086212	294.520907	299.891352	3.56185693	0.178247627	0	5	0	0	3
77	74	0	1.15644892	300.10325	297.250398	294.655249	300.10325	3.68252998	0.181188762	0	4.9	0	0	3
78	75	0	1.17146774	300.348052	297.417834	294.795178	300.348052	3.80249792	0.184246132	0	4.8	0	0	3
79	77	0	1.18648656	300.580131	297.58798	294.945602	300.580131	3.92093154	0.187358268	0	4.7	0	0	3
80	78	0	1.20150537	300.837338	297.761266	295.087302	300.837338	4.03852485	0.190570558	0	4.7	0	0	3
81	79	0	1.21652419	301.098319	297.938061	295.228881	301.098319	4.15564855	0.193869258	0	4.6	0	0	3
82	80	0	1.23154301	301.262019	298.115506	295.373225	301.262019	4.26936874	0.197035898	0	4.6	0	0	3
83	81	0	1.24656182	301.406967	298.292969	295.522202	301.406967	4.37901375	0.200059729	0	4.5	0	0	3
84	82	0	1.26158064	301.541199	298.469998	295.669596	301.541199	4.4841842	0.202946666	0	4.5	0	0	3
85	83	0	1.27659946	301.679143	298.646749	295.810589	301.679143	4.58523034	0.205725162	0	4.4	0	0	3
86	84	0	1.29161828	301.82953	298.823777	295.960621	301.82953	4.68245026	0.208432071	0	4.4	0	0	3
87	85	0	1.30663709	301.997292	299.001326	296.123724	301.997292	4.7757031	0.211095414	0	4.4	0	0	3
88	86	0	1.32165591	302.163406	299.178964	296.273637	302.163406	4.865116	0.213719591	0	4.3	0	0	3
89	87	0	1.33667473	302.317913	299.356737	296.426446	302.317913	4.95063945	0.216292964	0	4.3	0	0	3
90	87	0	1.35169354	302.470237	299.534495	296.594021	302.470237	5.03171466	0.218819653	0	4.3	0	0	3
91	89	0	1.36671236	302.616486	299.711627	296.764675	302.616486	5.10763034	0.221297819	0	4.3	0	0	3
92	90	0	1.38173118	302.757733	299.887893	296.947984	302.757733	5.17777854	0.223716383	0	4.3	0	0	3
93	91	0	1.39675	302.899419	300.062935	297.132676	302.899419	5.24202638	0.226082643	0	4.3	0	0	3
94	92	0	1.41176881	303.064527	300.237401	297.347065	303.064527	5.30015091	0.228427653	0	4.3	0	0	3
95	93	0	1.42678763	303.250491	300.411032	297.579924	303.250491	5.35136951	0.23077504	0	4.3	0	0	3
96	94	0	1.44180645	303.458844	300.583941	297.742214	303.458844	5.39790033	0.233147239	0	4.3	0	0	3
97	96	0	1.45682527	303.699128	300.759144	297.887866	303.699128	5.44326105	0.235557999	0	4.3	0	0	3
98	97	0	1.47184408	303.919266	300.936539	298.030248	303.919266	5.4879065	0.237983066	0	4.3	0	0	3
99	98	0	1.4868629	304.154036	301.11665	298.172903	304.154036	5.53238637	0.2404335	0	4.3	0	0	3
100	99	0	1.50188172	304.290667	301.296584	298.316536	304.290667	5.57381873	0.242816567	0	4.3	0	0	3
101	100	0	1.51690053	304.429881	301.476388	298.466139	304.429881	5.61211427	0.245139302	0	4.3	0	0	3
102	101	0	1.53191935	304.562354	301.655689	298.613971	304.562354	5.64699093	0.247377797	0	4.3	0	0	3
103	102	0	1.54693817	304.706746	301.834888	298.756157	304.706746	5.67981696	0.249549914	0	4.3	0	0	3
104	103	0	1.56195699	304.859069	302.014386	298.90505	304.859069	5.7107623	0.25166279	0	4.4	0	0	3
105	104	0	1.5769758	305.017477	302.194163	299.064875	305.017477	5.73965673	0.253724396	0	4.4	0	0	3
106	105	0	1.59199462	305.160613	302.373449	299.237576	305.160613	5.76540709	0.255725907	0	4.4	0	0	3
107	106	0	1.60701344	305.300348	302.551766	299.432244	305.300348	5.78692757	0.257631603	0	4.4	0	0	3
108	107	0	1.62203225	305.434665	302.728308	299.654571	305.434665	5.78009345	0.259433752	0	4.4	0	0	3
109	108	0	1.63705107	305.564041	302.902116	299.891352	305.564041	5.67268955	0.261144711	0	4.6	0	0	3
110	109	0	1.65206989	305.7043	303.073085	300.10325	305.7043	5.60104914	0.262780219	0	4.6	0	0	3
111	110	0	1.66708871	305.84556	303.241976	300.348052	305.84556	5.49750734	0.264342292	0	4.8	0	0	3
112	110	0	1.68210752	305.996549	303.408109	300.580131	305.996549	5.41641759	0.265835317	0	4.9	0	0	3
113	112	0	1.69712634	306.168097	303.572461	300.837338	306.168097	5.33075927	0.267282893	0	5	0	0	3
114	113	0	1.71214516	306.360421	303.734904	301.098319	306.360421	5.26210148	0.268701262	0	5.1	0	0	3
115	114	0	1.72716397	306.566101	303.895721	301.262019	306.566101	5.30408196	0.270098866	0	5	0	0	3
116	115	0	1.74218279	306.74641	304.057027	301.406967	306.74641	5.33944323	0.271458608	0	5	0	0	3
117	117	0	1.75720161	306.96022	304.220358	301.541199	306.96022	5.41902054	0.27280381	0	5	0	0	3
118	118	0	1.77222043	307.092449	304.38363	301.679143	307.092449	5.41330589	0.274091104	0	5	0	0	3
119	118	0	1.78723924	307.232753	304.546971	301.82953	307.232753	5.40322218	0.275323274	0	5	0	0	3
120	119	0	1.80225806	307.363403	304.709732	301.997292	307.363403	5.36611077	0.276490578	0	5.1	0	0	3
121	120	0	1.81727688	307.508445	304.871825	302.163406	307.508445	5.34503933	0.277611942	0	5.1	0	0	3
122	121	0	1.83229569	307.660787	305.033513	302.317913	307.660787	5.34287448	0.278692275	0	5.2	0	0	3
123	122	0	1.84731451	307.817381	305.195262	302.470237	307.817381	5.34714384	0.279728141	0	5.2	0	0	3
124	123	0	1.86233333	307.956644	305.356627	302.616486	307.956644	5.34015734	0.28071114	0	5.2	0	0	3
125	124	0	1.87735215	308.08348	305.517421	302.757733	308.08348	5.32574769	0.281631032	0	5.2	0	0	3
126	125	0	1.89237096	308.206626	305.677682	302.899419	308.206626	5.30720641	0.282488446	0	5.3	0	0	3
127	126	0	1.90738978	308.322283	305.837178	303.064527	308.322283	5.25775587	0.283267915	0	5.3	0	0	3
128	126	0	1.9224086	308.447275	305.995494	303.250491	308.447275	5.19678363	0.283968777	0	5.4	0	0	3
129	127	0	1.93742741	308.579384	306.152226	303.458844	308.579384	5.12054065	0.284632428	0	5.5	0	0	3
130	128	0	1.95244623	308.723061	306.307056	303.699128	308.723061	5.0239332	0.285274069	0	5.6	0	0	3
131	129	0	1.96746505	308.880892	306.459461	303.919266	308.880892	4.96162565	0.285902901	0	5.7	0	0	3
132	131	0	1.98248387	309.062552	306.610734	304.154036	309.062552	4.90851554	0.286530387	0	5.8	0	0	3
133	132	0	1.99750268	309.238645	306.760282	304.290667	309.238645	4.94797772	0.287153612	0	5.8	0	0	3
134	133	0	2.0125215	309.397707	306.910489	304.429881	309.397707	4.96782619	0.28776247	0	5.7	0	0	3
135	135	0	2.02754032	309.610935	307.062873	304.562354	309.610935	5.04858092	0.28838227	0	5.7	0	0	3
136	135	0	2.04255913	309.737129	307.215072	304.706746	309.737129	5.03038246	0.288977153	0	5.7	0	0	3
137	136	0	2.05757795	309.868943	307.366901	304.859069	309.868943	5.00987327	0.289547719	0	5.7	0	0	3
138	137	0	2.07259677	309.994892	307.517955	305.017477	309.994892	4.97741552	0.290087899	0	5.8	0	0	3
139	138	0	2.08761559	310.133818	307.668435	305.160613	310.133818	4.97320519	0.290599001	0	5.8	0	0	3
140	139	0	2.1026344	310.277783	307.81894	305.300348	310.277783	4.97743482	0.291075264	0	5.8	0	0	3
141	140	0	2.11765322	310.420326	307.969528	305.434665	310.420326	4.98566119	0.291506309	0	5.8	0	0	3
142	141	0	2.13267204	310.545965	308.11986	305.564041	310.545965	4.98192346	0.291881404	0	5.8	0	0	3
143	142	0	2.14769085	310.659952	308.26974	305.7043	310.659952	4.95565267	0.292207978	0	5.8	0	0	3
144	143	0	2.16270967	310.767633	308.418662	305.84556	310.767633	4.92207351	0.292472646	0	5.9	0	0	3
145	144	0	2.17772849	310.870146	308.566444	305.996549	310.870146	4.87359711	0.292680695	0	6	0	0	3
146	145	0	2.19274731	310.984416	308.713146	306.168097	310.984416	4.81631878	0.292829197	0	6	0	0	3
147	146	0	2.20776612	311.106761	308.8584	306.360421	311.106761	4.7463403	0.292921997	0	6.1	0	0	3
148	147	0	2.22278494	311.240196	309.001923	306.566101	311.240196	4.67409501	0.293001298	0	6.2	0	0	3
149	148	0	2.23780376	311.385645	309.143675	306.74641	311.385645	4.63923512	0.293078847	0	6.3	0	0	3
150	149	0	2.25282257	311.549436	309.28494	306.96022	311.549436	4.589216	0.293165211	0	6.3	0	0	3
151	151	0	2.26784139	311.713595	309.424745	307.092449	311.713595	4.62114593	0.293258882	0	6.3	0	0	3
152	152	0	2.28286021	311.861016	309.564997	307.232753	311.861016	4.6282638	0.293349302	0	6.3	0	0	3
153	153	0	2.29787903	312.044146	309.706509	307.363403	312.044146	4.68074287	0.29344298	0	6.2	0	0	3
154	154	0	2.31289784	312.164067	309.847705	307.508445	312.164067	4.65562161	0.293518576	0	6.3	0	0	3
155	155	0	2.32791666	312.289579	309.988326	307.660787	312.289579	4.62879179	0.293582569	0	6.3	0	0	3
156	157	0	2.34293548	312.407632	310.127939	307.817381	312.407632	4.59025119	0.293633573	0	6.3	0	0	3
157	159	0	2.35795429	312.5404	310.266852	307.956644	312.5404	4.58375627	0.293678949	0	6.4	0	0	3
158	160	0	2.37297311	312.676527	310.405672	308.08348	312.676527	4.59304635	0.293721639	0	6.3	0	0	3
159	161	0	2.38799193	312.811822	310.544741	308.206626	312.811822	4.60519684	0.293761318	0	6.3	0	0	3
160	163	0	2.40301075	312.929072	310.683636	308.322283	312.929072	4.60678893	0.293784706	0	6.3	0	0	3
161	163	0	2.41802956	313.034828	310.82224	308.447275	313.034828	4.58755307	0.293781997	0	6.4	0	0	3
162	165	0	2.43304838	313.135292	310.960123	308.579384	313.135292	4.55590732	0.293745276	0	6.4	0	0	3
163	166	0	2.4480672	313.229894	311.096903	308.723061	313.229894	4.50683359	0.293663794	0	6.5	0	0	3
164	168	0	2.46308602	313.331812	311.232454	308.880892	313.331812	4.45092009	0.293547428	0	6.5	0	0	3
165	169	0	2.47810483	313.440476	311.36656	309.062552	313.440476	4.37792442	0.293394834	0	6.7	0	0	3
166	171	0	2.49312365	313.565668	311.499004	309.238645	313.565668	4.32702335	0.293241856	0	6.7	0	0	3
167	173	0	2.50814247	313.696463	311.630117	309.397707	313.696463	4.29875586	0.293089412	0	6.8	0	0	3
168	175	0	2.52316128	313.84467	311.76091	309.610935	313.84467	4.23373516	0.292944661	0	6.9	0	0	3
169	178	0	2.5381801	313.986364	311.889599	309.737129	313.986364	4.24923518	0.292801953	0	6.8	0	0	3
170	180	0	2.55319892	314.113862	312.018326	309.868943	314.113862	4.24491922	0.292654787	0	6.8	0	0	3
171	183	0	2.56821774	314.28654	312.148256	309.994892	314.28654	4.29164814	0.292514567	0	6.8	0	0	3
172	184	0	2.58323655	314.40309	312.277909	310.133818	314.40309	4.26927162	0.292369421	0	6.8	0	0	3
173	185	0	2.59825537	314.522158	312.406977	310.277783	314.522158	4.24437496	0.292221165	0	6.8	0	0	3
174	187	0	2.61327419	314.635877	312.535157	310.420326	314.635877	4.21555089	0.292069906	0	6.9	0	0	3
175	189	0	2.628293	314.764395	312.662923	310.545965	314.764395	4.21843054	0.291921209	0	6.9	0	0	3
176	190	0	2.64331182	314.89614	312.79087	310.659952	314.89614	4.23618785	0.291772897	0	6.8	0	0	3
177	192	0	2.65833064	315.022793	312.919189	310.767633	315.022793	4.25516011	0.291623298	0	6.8	0	0	3
178	193	0	2.67334946	315.129665	313.047484	310.870146	315.129665	4.25951938	0.291464471	0	6.8	0	0	3
179	195	0	2.68836827	315.225752	313.17559	310.984416	315.225752	4.24133594	0.291288267	0	6.8	0	0	3
180	196	0	2.70338709	315.313508	313.302916	311.106761	315.313508	4.20674681	0.29108742	0	6.9	0	0	3
181	197	0	2.71840591	315.396031	313.429071	311.240196	315.396031	4.15583521	0.290857688	0	6.9	0	0	3
182	198	0	2.73342472	315.487866	313.554002	311.385645	315.487866	4.10222048	0.29060887	0	7	0	0	3
183	200	0	2.74844354	315.587881	313.677598	311.549436	315.587881	4.03844578	0.290334913	0	7.1	0	0	3
184	201	0	2.76346236	315.69709	313.799587	311.713595	315.69709	3.98349508	0.290059736	0	7.2	0	0	3
185	203	0	2.77848118	315.813267	313.920166	311.861016	315.813267	3.95225044	0.28978309	0	7.3	0	0	3
186	205	0	2.79349999	315.948515	314.040386	312.044146	315.948515	3.90436865	0.289512251	0	7.4	0	0	3
187	206	0	2.80851881	316.084414	314.159218	312.164067	316.084414	3.92034728	0.289243642	0	7.3	0	0	3
188	208	0	2.82353763	316.200252	314.277929	312.289579	316.200252	3.91067298	0.288970421	0	7.3	0	0	3
189	209	0	2.83855644	316.36171	314.397698	312.407632	316.36171	3.95407751	0.288702875	0	7.3	0	0	3
190	210	0	2.85357526	316.472654	314.517257	312.5404	316.472654	3.93225427	0.288432773	0	7.3	0	0	3
191	211	0	2.86859408	316.584657	314.636206	312.676527	316.584657	3.90813009	0.288163439	0	7.3	0	0	3
192	211	0	2.8836129	316.692134	314.754312	312.811822	316.692134	3.88031176	0.287894653	0	7.4	0	0	3
193	213	0	2.89863171	316.815182	314.872058	312.929072	316.815182	3.88610985	0.287631894	0	7.4	0	0	3
194	214	0	2.91365053	316.940227	314.990033	313.034828	316.940227	3.90539904	0.287373285	0	7.3	0	0	3
195	215	0	2.92866935	317.057772	315.108355	313.135292	317.057772	3.92248047	0.287115303	0	7.3	0	0	3
196	216	0	2.94368816	317.155417	315.226594	313.229894	317.155417	3.92552215	0.286850616	0	7.3	0	0	3
197	217	0	2.95870698	317.241723	315.344589	313.331812	317.241723	3.90991049	0.286573495	0	7.3	0	0	3
198	217	0	2.9737258	317.319485	315.461873	313.440476	317.319485	3.8790083	0.286276812	0	7.3	0	0	3
199	218	0	2.98874462	317.3927	315.578115	313.565668	317.3927	3.82703166	0.285961243	0	7.4	0	0	3
200	219	0	3.00376343	317.475011	315.693096	313.696463	317.475011	3.77854848	0.285633107	0	7.5	0	0	3
201	221	0	3.01878225	317.564409	315.806859	313.84467	317.564409	3.71973887	0.285282145	0	7.6	0	0	3
202	222	0	3.03380107	317.664258	315.9192	313.986364	317.664258	3.67789387	0.284930528	0	7.7	0	0	3
