Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0145840821	-1.91238541	-1.91238541	-1.91238541	-1.91238541	0	0	0	0	0	0	3
2	4	0	0.0291681642	-1.89623562	-1.90431051	-1.91238541	-1.89623562	0.00807489909	0	0	0	0	0	3
3	5	0	0.0437522463	-1.84532523	-1.88464875	-1.91238541	-1.84532523	0.0277366594	0	0	0	0	0	3
4	5	0	0.0583363284	-1.78670376	-1.86016251	-1.91238541	-1.78670376	0.052222907	0	0	0	0	0	3
5	6	0	0.0729204105	-1.7301362	-1.83415725	-1.91238541	-1.7301362	0.0782281676	0	0	0	0	0	3
6	6	0	0.0875044927	-1.70630332	-1.81284826	-1.91238541	-1.70630332	0.0995371547	0	0	0	0	0	3
7	7	0	0.102088575	-1.74556458	-1.8032363	-1.91238541	-1.70630332	0.109149109	0	0	0	0	0	3
8	8	0	0.116672657	-1.81562296	-1.80478464	-1.91238541	-1.70630332	0.109149109	0	0	0	0	0	3
9	8	0	0.131256739	-1.81555761	-1.80598163	-1.91238541	-1.70630332	0.109149109	0	0	0	0	0	3
10	9	0	0.145840821	-1.80549215	-1.80593269	-1.91238541	-1.70630332	0.109149109	0	0	0	0	0	3
11	10	0	0.160424903	1.64369437	-1.49233023	-1.91238541	1.64369437	0.420055187	0	0	0	0	0	3
12	10	0	0.175008985	2.95054849	-1.12209033	-1.91238541	2.95054849	0.79029508	0	0	0	0	0	3
13	11	0	0.189593067	3.3938921	-0.774707069	-1.91238541	3.3938921	1.13767834	0	0	0	0	0	3
14	12	0	0.20417715	3.47607209	-0.471079986	-1.91238541	3.47607209	1.44130543	0	0	0	0	0	3
15	12	0	0.218761232	3.48929765	-0.207054811	-1.91238541	3.48929765	1.7053306	0	0	0	0	0	3
16	13	0	0.233345314	3.49100046	0.0240736439	-1.91238541	3.49100046	1.93645906	0	0	0	0	0	3
17	14	0	0.247929396	3.49290441	0.228122512	-1.91238541	3.49290441	2.14050793	0	0	0	0	0	3
18	14	0	0.262513478	3.4937752	0.409547662	-1.91238541	3.4937752	2.32193307	0	0	0	0	0	3
19	15	0	0.27709756	3.49591852	0.571988233	-1.91238541	3.49591852	2.48437365	0	0	0	0	0	3
20	16	0	0.291681642	3.49638751	0.718208197	-1.91238541	3.49638751	2.63059361	0	0	0	0	0	3
21	16	0	0.306265724	3.49513629	0.850442868	-1.91238541	3.49638751	2.76282828	0	0	0	0	0	3
22	17	0	0.320849806	3.49520841	0.970659484	-1.91238541	3.49638751	2.8830449	0	0	0	0	0	3
23	18	0	0.335433889	3.49653644	1.08048022	-1.91238541	3.49653644	2.99286563	0	0	0	0	0	3
24	18	0	0.350017971	3.49600155	1.18112694	-1.91238541	3.49653644	3.09351236	0	0	0	0	0	3
25	19	0	0.364602053	3.49712119	1.27376671	-1.91238541	3.49712119	3.18615213	0	0	0	0	0	3
26	20	0	0.379186135	3.49548594	1.35921745	-1.91238541	3.49712119	3.27160287	0	0	0	0	0	3
27	20	0	0.393770217	3.4949493	1.43831863	-1.91238541	3.49712119	3.35070405	0	0	0	0	0	3
28	21	0	0.408354299	3.49579646	1.51179998	-1.91238541	3.49712119	3.4241854	0	0	0	0	0	3
